dataset,model,Continuous_Mean_WD_summary,Continuous_Mean_KL_50bins_summary,Continuous_Corr_Pearson_summary,mmd_summary,Discrete_Cat_Mean_KL_summary,Pairwise_MI_Err_summary,Discrete_Mean_KL_summary,Discrete_Corr_Spearman_summary,Categorical_Mean_KL_summary,Categorical_NMI_summary,fit_time_summary,tstr_f1_real_summary,tstr_f1_synth_summary,tstr_f1_deviation_%_summary,tstr_f1_diff_raw_summary,tstr_r2_real_summary,tstr_r2_synth_summary,tstr_r2_deviation_%_summary,tstr_r2_diff_raw_summary
Adult,msbm,0.0765 ± 0.0057,0.1085 ± 0.0326,0.1203 ± 0.0491,0.0016 ± 0.0003,0.0043 ± 0.0018,41.2292 ± 0.3056,0.0058 ± 0.0035,0.0000 ± 0.0000,0.0042 ± 0.0017,0.8718 ± 0.0120,91.1397 ± 3.6654,0.3397 ± 0.0011,0.2768 ± 0.0078,18.5167 ± 2.4382,0.0629 ± 0.0084,nan ± nan,nan ± nan,nan ± nan,nan ± nan
Auto MPG,msbm,0.2896 ± 0.0986,0.9908 ± 0.3074,0.7951 ± 0.3437,0.0379 ± 0.0219,0.1408 ± 0.1216,1.0785 ± 0.4130,0.1408 ± 0.1216,0.2828 ± 0.0822,nan ± nan,nan ± nan,23.9301 ± 1.5992,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.8594 ± 0.0265,0.7841 ± 0.0615,8.7158 ± 7.3638,0.0753 ± 0.0641
Cardiovascular Disease,msbm,0.0944 ± 0.0214,0.0773 ± 0.0309,0.2747 ± 0.1311,0.0031 ± 0.0017,0.0079 ± 0.0081,18.0087 ± 1.1421,0.0079 ± 0.0081,0.7353 ± 0.0313,nan ± nan,nan ± nan,117.3130 ± 8.9563,0.7348 ± 0.0025,0.7145 ± 0.0094,2.7695 ± 1.0028,0.0203 ± 0.0073,nan ± nan,nan ± nan,nan ± nan,nan ± nan
Churn Modelling,msbm,0.0598 ± 0.0094,0.1479 ± 0.0496,0.1364 ± 0.0294,0.0014 ± 0.0005,0.0014 ± 0.0004,19.8118 ± 0.5520,0.0016 ± 0.0003,0.2784 ± 0.0313,0.0011 ± 0.0008,0.0018 ± 0.0013,59.9156 ± 5.4200,0.7546 ± 0.0062,0.5930 ± 0.0131,21.4135 ± 1.2232,0.1615 ± 0.0084,nan ± nan,nan ± nan,nan ± nan,nan ± nan
Credit Approval,msbm,0.2250 ± 0.0269,0.6366 ± 0.1522,0.9886 ± 0.1418,0.0158 ± 0.0050,0.0562 ± 0.0589,27.5680 ± 1.5229,nan ± nan,nan ± nan,0.0562 ± 0.0589,1.1033 ± 0.0651,146.3646 ± 6.1029,0.8778 ± 0.0206,0.8182 ± 0.0547,6.7682 ± 6.1818,0.0596 ± 0.0544,nan ± nan,nan ± nan,nan ± nan,nan ± nan
Diamonds,msbm,0.0986 ± 0.0124,0.1767 ± 0.0373,0.5074 ± 0.1391,0.0048 ± 0.0019,0.0055 ± 0.0023,2.9567 ± 0.2559,nan ± nan,nan ± nan,0.0055 ± 0.0023,0.0353 ± 0.0032,65.7776 ± 4.4915,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.9823 ± 0.0008,0.9568 ± 0.0031,2.6032 ± 0.2395,0.0256 ± 0.0023
Eucalyptus,msbm,0.2582 ± 0.0159,1.4987 ± 0.1634,1.9168 ± 1.0221,0.0237 ± 0.0101,0.1118 ± 0.0403,33.3598 ± 9.4541,0.0529 ± 0.0161,1.0571 ± 0.4086,0.1609 ± 0.0687,1.9544 ± 0.5975,14.6668 ± 0.2219,0.6188 ± 0.0264,0.3872 ± 0.1208,36.7625 ± 21.2842,0.2317 ± 0.1448,nan ± nan,nan ± nan,nan ± nan,nan ± nan
Forest Fires,msbm,0.2851 ± 0.0654,0.7561 ± 0.1065,1.1594 ± 0.0644,0.0334 ± 0.0116,0.1924 ± 0.1009,3.8481 ± 0.4434,0.1603 ± 0.1088,0.4015 ± 0.2283,0.2246 ± 0.1504,0.1247 ± 0.0511,41.8062 ± 0.6214,nan ± nan,nan ± nan,nan ± nan,nan ± nan,-1.3212 ± 1.8711,-0.3464 ± 0.4418,-53.0047 ± 21.7012,-0.9748 ± 1.4320
Insurance,msbm,0.1306 ± 0.0398,0.2269 ± 0.0187,0.2546 ± 0.0920,0.0073 ± 0.0029,0.0120 ± 0.0038,4.3050 ± 0.7080,0.0257 ± 0.0135,0.0000 ± 0.0000,0.0074 ± 0.0043,0.0331 ± 0.0172,110.7961 ± 10.7715,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.8453 ± 0.0267,0.8130 ± 0.0218,3.8105 ± 1.2238,0.0324 ± 0.0107
Online Shoppers,msbm,0.2267 ± 0.0199,0.6185 ± 0.0159,0.5034 ± 0.0660,0.0057 ± 0.0017,0.0113 ± 0.0024,24.3331 ± 0.3803,0.0161 ± 0.0027,0.5263 ± 0.0326,0.0065 ± 0.0032,0.0298 ± 0.0027,28.6597 ± 0.3019,0.7917 ± 0.0127,0.7496 ± 0.0153,5.3114 ± 2.0135,0.0421 ± 0.0162,nan ± nan,nan ± nan,nan ± nan,nan ± nan
