dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Cat_Mean_KL,Pairwise_MI_Err,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_f1_real,tstr_f1_synth,tstr_f1_deviation_%,tstr_f1_diff_raw,fold,tstr_r2_real,tstr_r2_synth,tstr_r2_deviation_%,tstr_r2_diff_raw
Adult,msbm,0.07497122143454334,0.11342880671660542,0.09345631249245881,0.0017568618574246297,0.0073778736675809324,41.66759126469103,0.010410714127396753,0.0,0.007040891394268064,0.8815341261453606,96.33795762062073,0.34004373322144155,0.27858653655004667,18.07332136051248,0.061457196671394876,0,,,,
Adult,msbm,0.08586705402315675,0.1622959429204489,0.13733134362358052,0.001875395414206893,0.0032137947102438566,41.03220579804791,0.0027821950142112323,0.0,0.003261750232025259,0.8647008102075299,91.5788950920105,0.3389508607528784,0.28788712817023204,15.065231718020563,0.05106373258264635,1,,,,
Adult,msbm,0.07642460978502619,0.08073308346208753,0.1005912616428298,0.0010416047474347545,0.0042204969481727935,41.19340350815576,0.0030027983664482998,0.0,0.004355796790586627,0.8775981439125796,86.91367673873901,0.33888087958860014,0.27880935447880745,17.726442749652698,0.06007152510979269,2,,,,
Adult,msbm,0.07479933713875186,0.08658723017751077,0.19760507580129952,0.0015209415244367142,0.0035529576924753824,41.37151541787268,0.00412713342181756,0.0,0.0034891603892151395,0.8811272863196522,88.47552704811096,0.34142907989648247,0.26957037097569075,21.046452441185878,0.07185870892079171,3,,,,
Adult,msbm,0.07045005027662803,0.09942931221625924,0.07263472828747448,0.0016329700568558092,0.0032243182011400086,40.88144685951606,0.008704136887593547,0.0,0.002615449458200727,0.8541514855428473,92.39238548278809,0.33913908532507764,0.26903163021184384,20.672183816864738,0.0701074551132338,4,,,,
Adult,msbm,0.07650245453162123,0.10849487509858238,0.12032374436952864,0.00156555472007176,0.0043178882439225946,41.22923256965669,0.005805395563493479,0.0,0.004152609652859163,0.8718223704255939,91.13968839645386,0.339688727756896,0.27677700407732414,18.51672641724727,0.06291172367957189,mean,,,,
Credit Approval,msbm,0.23378862628943398,0.5362867387015129,0.7788613433088134,0.02015875803670497,0.1598866716466841,28.768216827177262,,,0.1598866716466841,1.1307239223289818,141.74218916893005,0.8761904761904762,0.9045454545454545,-3.236166007905138,-0.028354978354978355,0,,,,
Credit Approval,msbm,0.1776465887451857,0.6772871139480062,1.1082409056311497,0.016814708589843574,0.029008129546190847,29.061324239932354,,,0.029008129546190847,1.105157772601644,149.90469193458557,0.913151364764268,0.825,9.653532608695652,0.08815136476426799,1,,,,
Credit Approval,msbm,0.23396492783482128,0.6035257823986663,0.9081438419489917,0.016388891154307528,0.04832093640778404,26.4274484387178,,,0.04832093640778404,1.192175023164129,151.52664756774902,0.8730203888098624,0.7660246913580246,12.255807404188895,0.10699569745183779,2,,,,
Credit Approval,msbm,0.2342932552728952,0.48867679456608243,1.0971774078893792,0.018242211086373583,0.02178488090469315,25.54672016085549,,,0.02178488090469315,1.070285444513005,150.6536786556244,0.8641284061216872,0.7765625,10.13343682505399,0.08756590612168713,3,,,,
Credit Approval,msbm,0.24537117627735208,0.8774066638778025,1.050461327457239,0.0071510126844608335,0.02217918859894814,28.0365386668297,,,0.02217918859894814,1.0183175287990502,137.99566531181335,0.862509534706331,0.8190866510538641,5.0344815802241,0.043422883652466826,4,,,,
Credit Approval,msbm,0.22501291488393765,0.6366366186984141,0.9885769652471147,0.015751116310338098,0.05623596142086005,27.568049666702517,,,0.05623596142086005,1.1033319382813622,146.36457452774047,0.8778000341185249,0.8182438593914686,6.7682184820515,0.05955617472705628,mean,,,,
Online Shoppers,msbm,0.2264730071802747,0.6018037838130705,0.5690988517182144,0.00749929265638305,0.014353095782389176,24.85598406594136,0.01690458447545357,0.5568716021912434,0.011801607089324782,0.029670225625410638,28.31036901473999,0.7922483030965879,0.7441808127572016,6.067225407931998,0.04806749033938629,0,,,,
Online Shoppers,msbm,0.22340739479721705,0.6007124995063384,0.4497035094384338,0.003400887423512744,0.012553952150475538,23.887702450841978,0.01813243309626213,0.4952039159217422,0.006975471204688945,0.030731784410263713,28.643584728240967,0.795818446899198,0.7689132353559269,3.3808228055159693,0.02690521154327108,1,,,,
Online Shoppers,msbm,0.2129103987165229,0.6261079650306846,0.5816625532250842,0.005353977090111206,0.00941882552845834,24.51696061551386,0.015620832692340842,0.5132524968283684,0.003216818364575838,0.02730858534422,29.11121892929077,0.7934812467273271,0.7292966605101583,8.088985906332995,0.06418458621716883,2,,,,
Online Shoppers,msbm,0.2600715713018662,0.6307990533362454,0.4548332791920187,0.007315480262495733,0.01179058043203576,24.34195509527068,0.018334392016590446,0.5007974649667815,0.005246768847481072,0.027392537289231633,28.48498511314392,0.7711343408007977,0.74567170216743,3.3019718207498863,0.02546263863336773,3,,,,
Online Shoppers,msbm,0.21044765818056926,0.6329151092344452,0.4617083877381367,0.004705476544938136,0.008492927537995007,24.062997680464562,0.0117288529800411,0.5653326398822731,0.005257002095948912,0.03383860068157772,28.74813675880432,0.8059191564147627,0.7598384688228439,5.717780403299364,0.046080687591918856,4,,,,
Online Shoppers,msbm,0.22666200603529002,0.6184676821841568,0.5034013162623776,0.005655022795488174,0.011321876286270762,24.33311998160649,0.01614421905213762,0.5262916239580817,0.006499533520403909,0.029788346670140742,28.659658908843994,0.7917202987877348,0.7495801759227121,5.311357268766043,0.042140122865022556,mean,,,,
Eucalyptus,msbm,0.2656594271563649,1.4867104553782844,2.9784442091527157,0.03289017998328919,0.07641803033771091,50.190420985608576,0.05391139397095399,1.5221148140752587,0.09517356064334166,3.0095740820411336,14.939138174057007,0.6560185854303502,0.18168049970052194,72.30558649777598,0.4743380857298283,0,,,,
Eucalyptus,msbm,0.2751812809013443,1.6148487047699551,1.064998739030006,0.022260528962751047,0.08690149502005783,29.232022834176245,0.051892733402157686,0.88435994229103,0.11607546303497461,1.6338511889116973,14.738176345825195,0.6126126126126127,0.44844571029993024,26.79783258339375,0.16416690231268244,1,,,,
Eucalyptus,msbm,0.2554162604352192,1.6637850796252414,3.087602814506399,0.035343741571927045,0.14426940210677014,30.60453435526847,0.0767187285282249,1.426891376900926,0.20056163008889125,1.8538711081107735,14.579598426818848,0.6268601148048887,0.375469610686045,40.10312638842709,0.25139050411884367,2,,,,
Eucalyptus,msbm,0.26180865518466095,1.2423286492197203,1.1918016422666349,0.014772053366627624,0.16572929660489827,28.651216468281728,0.050771437800204336,0.9074679053282012,0.2615275122754766,1.65315739084991,14.342038631439209,0.5827385827385828,0.4712661458791489,19.12906407116012,0.11147243685943392,3,,,,
