dataset,model,Continuous_Mean_WD_mean,Continuous_Mean_WD_std,Continuous_Mean_WD_summary,Continuous_Mean_KL_50bins_mean,Continuous_Mean_KL_50bins_std,Continuous_Mean_KL_50bins_summary,Continuous_Corr_Pearson_mean,Continuous_Corr_Pearson_std,Continuous_Corr_Pearson_summary,mmd_mean,mmd_std,mmd_summary,Discrete_Cat_Mean_KL_mean,Discrete_Cat_Mean_KL_std,Discrete_Cat_Mean_KL_summary,Pairwise_MI_Err_mean,Pairwise_MI_Err_std,Pairwise_MI_Err_summary,Discrete_Mean_KL_mean,Discrete_Mean_KL_std,Discrete_Mean_KL_summary,Discrete_Corr_Spearman_mean,Discrete_Corr_Spearman_std,Discrete_Corr_Spearman_summary,Categorical_Mean_KL_mean,Categorical_Mean_KL_std,Categorical_Mean_KL_summary,Categorical_NMI_mean,Categorical_NMI_std,Categorical_NMI_summary,fit_time_mean,fit_time_std,fit_time_summary,tstr_f1_real_mean,tstr_f1_real_std,tstr_f1_real_summary,tstr_f1_synth_mean,tstr_f1_synth_std,tstr_f1_synth_summary,tstr_f1_deviation_%_mean,tstr_f1_deviation_%_std,tstr_f1_deviation_%_summary,tstr_f1_diff_raw_mean,tstr_f1_diff_raw_std,tstr_f1_diff_raw_summary,tstr_r2_real_mean,tstr_r2_real_std,tstr_r2_real_summary,tstr_r2_synth_mean,tstr_r2_synth_std,tstr_r2_synth_summary,tstr_r2_deviation_%_mean,tstr_r2_deviation_%_std,tstr_r2_deviation_%_summary,tstr_r2_diff_raw_mean,tstr_r2_diff_raw_std,tstr_r2_diff_raw_summary
Adult,msbm,0.07650245453162118,0.005691631232757008,0.0765 ± 0.0057,0.10849487509858233,0.03260270307510437,0.1085 ± 0.0326,0.1203237443695286,0.049109914084012926,0.1203 ± 0.0491,0.0015655547200717202,0.00032158141085465253,0.0016 ± 0.0003,0.00431788824392254,0.001758766085612969,0.0043 ± 0.0018,41.22923256965669,0.3055572470770836,41.2292 ± 0.3056,0.00580539556349342,0.003515057494740532,0.0058 ± 0.0035,0.0,0.0,0.0000 ± 0.0000,0.00415260965285912,0.0017306150155258714,0.0042 ± 0.0017,0.8718223704255939,0.012012868212959011,0.8718 ± 0.0120,91.13968839645386,3.6654155855645594,91.1397 ± 3.6654,0.33968872775689596,0.0010786597738759451,0.3397 ± 0.0011,0.2767770040773241,0.007790476401698464,0.2768 ± 0.0078,18.51672641724727,2.438210529063922,18.5167 ± 2.4382,0.06291172367957185,0.008402148022055375,0.0629 ± 0.0084,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan
Auto MPG,msbm,0.28955476258079227,0.09862182056442037,0.2896 ± 0.0986,0.990821605546565,0.3074291313583848,0.9908 ± 0.3074,0.7950912174586537,0.3436636817674455,0.7951 ± 0.3437,0.037900146216423805,0.021875192732293713,0.0379 ± 0.0219,0.14079010969256714,0.12162280324309066,0.1408 ± 0.1216,1.0784629391365583,0.41304457613908196,1.0785 ± 0.4130,0.14079010969256714,0.12162280324309066,0.1408 ± 0.1216,0.28282187804923564,0.08216817111645883,0.2828 ± 0.0822,,,nan ± nan,,,nan ± nan,23.9300576210022,1.5992228081113224,23.9301 ± 1.5992,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,0.85944294673017,0.02647042812697452,0.8594 ± 0.0265,0.7841270365521147,0.061455397652245364,0.7841 ± 0.0615,8.71579892153127,7.363795838019633,8.7158 ± 7.3638,0.07531591017805513,0.0640567981630899,0.0753 ± 0.0641
Cardiovascular Disease,msbm,0.09444306254730649,0.021359645750861744,0.0944 ± 0.0214,0.07733633581496095,0.03091207288223572,0.0773 ± 0.0309,0.27465927961960823,0.13107784211461165,0.2747 ± 0.1311,0.00311012766429024,0.0016809390087543913,0.0031 ± 0.0017,0.007881234960276779,0.008089654009461449,0.0079 ± 0.0081,18.008719056071108,1.1420883064521308,18.0087 ± 1.1421,0.007881234960276779,0.008089654009461449,0.0079 ± 0.0081,0.7353336847738237,0.0313121922296873,0.7353 ± 0.0313,,,nan ± nan,,,nan ± nan,117.3129530906677,8.956291947305191,117.3130 ± 8.9563,0.7348332990053101,0.0025105506444711143,0.7348 ± 0.0025,0.7144981761877753,0.009443536400532856,0.7145 ± 0.0094,2.7695222867507567,1.002791083747489,2.7695 ± 1.0028,0.02033512281753478,0.007305441043629614,0.0203 ± 0.0073,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan
Churn Modelling,msbm,0.059762013407046746,0.009429400091453368,0.0598 ± 0.0094,0.14792700844958123,0.049553507735413546,0.1479 ± 0.0496,0.13644512104648387,0.02940901120612041,0.1364 ± 0.0294,0.00140623829089536,0.00046852651805808805,0.0014 ± 0.0005,0.00143723977288258,0.0003633560096469053,0.0014 ± 0.0004,19.81182512135424,0.5519764167907668,19.8118 ± 0.5520,0.00156542911049052,0.00033843311518069204,0.0016 ± 0.0003,0.2784473469133852,0.03126286521676976,0.2784 ± 0.0313,0.00111676642886276,0.000838754013080756,0.0011 ± 0.0008,0.0017698452954903999,0.0013052800985735896,0.0018 ± 0.0013,59.91564207077026,5.420042133569185,59.9156 ± 5.4200,0.754583145289679,0.006210727610490608,0.7546 ± 0.0062,0.5930421403735192,0.01308050203094127,0.5930 ± 0.0131,21.413493198851913,1.2231786515285983,21.4135 ± 1.2232,0.1615410049161597,0.0084048765074672,0.1615 ± 0.0084,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan
Credit Approval,msbm,0.22501291488393763,0.02693187713066739,0.2250 ± 0.0269,0.636636618698414,0.15221794643935185,0.6366 ± 0.1522,0.9885769652471147,0.14176857767585796,0.9886 ± 0.1418,0.015751116310338042,0.005028235934093888,0.0158 ± 0.0050,0.056235961420860014,0.05893685795757473,0.0562 ± 0.0589,27.568049666702517,1.522867052623519,27.5680 ± 1.5229,,,nan ± nan,,,nan ± nan,0.056235961420860014,0.05893685795757473,0.0562 ± 0.0589,1.1033319382813622,0.06512731524200303,1.1033 ± 0.0651,146.36457452774047,6.102887255517596,146.3646 ± 6.1029,0.8778000341185249,0.020590441039370886,0.8778 ± 0.0206,0.8182438593914686,0.054677459456929645,0.8182 ± 0.0547,6.7682184820515,6.181765867280578,6.7682 ± 6.1818,0.05955617472705625,0.054409080537004606,0.0596 ± 0.0544,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan
Diamonds,msbm,0.09861384412200938,0.012350603662146093,0.0986 ± 0.0124,0.17666914382850235,0.037324305398880785,0.1767 ± 0.0373,0.5073911426806021,0.13911258491140738,0.5074 ± 0.1391,0.0047886993308069005,0.001856478552018079,0.0048 ± 0.0019,0.0054711428245281,0.0023348728217974755,0.0055 ± 0.0023,2.956699862149258,0.25592813607655956,2.9567 ± 0.2559,,,nan ± nan,,,nan ± nan,0.0054711428245281,0.0023348728217974755,0.0055 ± 0.0023,0.035312444475683366,0.003225605414773605,0.0353 ± 0.0032,65.77759222984314,4.491526398367466,65.7776 ± 4.4915,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,0.9823239691415386,0.0007848001720411441,0.9823 ± 0.0008,0.9567537289862343,0.003061028085981892,0.9568 ± 0.0031,2.6031736197253466,0.2395106462760206,2.6032 ± 0.2395,0.025570240155304465,0.0023344251898804267,0.0256 ± 0.0023
Eucalyptus,msbm,0.2581844228440337,0.015867189504896687,0.2582 ± 0.0159,1.4987268748615028,0.16338290146222337,1.4987 ± 0.1634,1.9168372524397004,1.0220916014374242,1.9168 ± 1.0221,0.02374094017623888,0.010088516420476997,0.0237 ± 0.0101,0.11184507464566615,0.040326418136721894,0.1118 ± 0.0403,33.359801375722036,9.454067742763392,33.3598 ± 9.4541,0.052923653981360695,0.016120035008803324,0.0529 ± 0.0161,1.0570930040494417,0.4086067258241589,1.0571 ± 0.4086,0.16094625853258737,0.06873643493461438,0.1609 ± 0.0687,1.9543758292704219,0.5974673941706448,1.9544 ± 0.5975,14.666849660873414,0.22193947026136934,14.6668 ± 0.2219,0.6188383910414061,0.026443074073964283,0.6188 ± 0.0264,0.387179145119881,0.12078297449579914,0.3872 ± 0.1208,36.762510435279104,21.28419159176162,36.7625 ± 21.2842,0.23165924592152506,0.1447991208102721,0.2317 ± 0.1448,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan
Forest Fires,msbm,0.2851240856702172,0.06540877241361734,0.2851 ± 0.0654,0.7560829900922912,0.10653100406263499,0.7561 ± 0.1065,1.1593837391674384,0.0643788392996088,1.1594 ± 0.0644,0.03337544594157704,0.011569697883929957,0.0334 ± 0.0116,0.19241994500561235,0.10091870373951838,0.1924 ± 0.1009,3.8480617437538642,0.44339414788722303,3.8481 ± 0.4434,0.16025093452637018,0.10876684490300176,0.1603 ± 0.1088,0.4015076724949038,0.22834375803824716,0.4015 ± 0.2283,0.2245889554848545,0.15035571169499085,0.2246 ± 0.1504,0.12468323366351171,0.05113456865780862,0.1247 ± 0.0511,41.80624957084656,0.6214188432665073,41.8062 ± 0.6214,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,-1.3211832532254664,1.8710773504839668,-1.3212 ± 1.8711,-0.3463906002328669,0.441803396967318,-0.3464 ± 0.4418,-53.00471625223433,21.70116095350418,-53.0047 ± 21.7012,-0.9747926529925992,1.4320406344040149,-0.9748 ± 1.4320
Insurance,msbm,0.13056423563435288,0.03976566561507527,0.1306 ± 0.0398,0.22689855025529643,0.018697252478752573,0.2269 ± 0.0187,0.2546354387178109,0.09200882342823283,0.2546 ± 0.0920,0.0072503652617637,0.0028801349878181223,0.0073 ± 0.0029,0.012014112921929661,0.003843911557053234,0.0120 ± 0.0038,4.305002524748,0.708042927919919,4.3050 ± 0.7080,0.025718519867497902,0.013463486555349981,0.0257 ± 0.0135,0.0,0.0,0.0000 ± 0.0000,0.00744597727340694,0.004254115268545275,0.0074 ± 0.0043,0.03305286573295334,0.017207959564513337,0.0331 ± 0.0172,110.79609160423279,10.771465049675417,110.7961 ± 10.7715,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,0.8453403382583018,0.02665562977888575,0.8453 ± 0.0267,0.8129856280665301,0.02184654632733317,0.8130 ± 0.0218,3.810453711794761,1.2238452408459943,3.8105 ± 1.2238,0.03235471019177164,0.01073653560033937,0.0324 ± 0.0107
Online Shoppers,msbm,0.22666200603529002,0.01986730383307748,0.2267 ± 0.0199,0.6184676821841568,0.015906734467541622,0.6185 ± 0.0159,0.5034013162623776,0.0659954474706412,0.5034 ± 0.0660,0.005655022795488141,0.001748702604318177,0.0057 ± 0.0017,0.01132187628627072,0.0023743704087737967,0.0113 ± 0.0024,24.333119981606487,0.3803370619867447,24.3331 ± 0.3803,0.01614421905213758,0.002697100253452328,0.0161 ± 0.0027,0.5262916239580817,0.03257971977728178,0.5263 ± 0.0326,0.006499533520403861,0.0032491546312216515,0.0065 ± 0.0032,0.02978834667014072,0.002701744979223709,0.0298 ± 0.0027,28.659658908843994,0.30187229349056366,28.6597 ± 0.3019,0.7917202987877348,0.012703973475768923,0.7917 ± 0.0127,0.7495801759227121,0.015287658809095165,0.7496 ± 0.0153,5.311357268766043,2.0134752574105224,5.3114 ± 2.0135,0.0421401228650225,0.016177616506347987,0.0421 ± 0.0162,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan
